Yearweek,Number of deaths
"2023-01",611
"2023-02",559
"2023-03",456
"2023-04",339
"2023-05",293
"2023-06",279
"2023-07",305
"2023-08",241
"2023-09",204
"2023-10",220
"2023-11",189
"2023-12",188
"2023-13",188
"2023-14",143
"2023-15",174
"2023-16",199
"2023-17",199
"2023-18",209
"2023-19",167
"2023-20",124
"2023-21",120
"2023-22",107
"2023-23",96
"2023-24",101
"2023-25",93
"2023-26",60
"2023-27",47
"2023-28",68
"2023-29",32
"2023-30",48
"2023-31",67
"2023-32",73
"2023-33",74
"2023-34",90
"2023-35",28
