Yearweek,Number of deaths
"2020-08",8
"2020-09",82
"2020-10",678
"2020-11",2412
"2020-12",4786
"2020-13",5972
"2020-14",4837
"2020-15",4160
"2020-16",3474
"2020-17",2611
"2020-18",1998
"2020-19",1423
"2020-20",1028
"2020-21",671
"2020-22",464
"2020-23",444
"2020-24",271
"2020-25",277
"2020-26",211
"2020-27",109
"2020-28",88
"2020-29",91
"2020-30",70
"2020-31",57
"2020-32",48
"2020-33",55
"2020-34",43
"2020-35",43
"2020-36",80
"2020-37",81
"2020-38",130
"2020-39",154
"2020-40",162
"2020-41", 292
"2020-42",601
"2020-43",1187
"2020-44",2235
"2020-45",3590
"2020-46",4882
"2020-47",5517
"2020-48",5438
"2020-49",4844
"2020-50",4478
"2020-51",4091
"2020-52",3391
"2020-53",3299
"2021-01",3350
"2021-02",3298
"2021-03",3158
"2021-04",2856
"2021-05",2581
"2021-06",2132
"2021-07",2091
"2021-08",2063
"2021-09",2271
"2021-10",2507
"2021-11",2900
"2021-12",3038
"2021-13",3116
"2021-14",2991
"2021-15",2486
"2021-16",2282
"2021-17",1848
"2021-18",1486
"2021-19",1172
"2021-20",824
"2021-21",593
"2021-22",424
"2021-23",296
"2021-24",215
"2021-25",140
"2021-26",106
"2021-27",80
"2021-28",68
"2021-29",73
"2021-30",92
"2021-31",149
"2021-32",241
"2021-33",320
"2021-34",374
"2021-35",412
"2021-36",403
"2021-37",386
"2021-38",346
"2021-39",293
"2021-40",246
"2021-41",226
"2021-42",238
"2021-43",280
"2021-44",313
"2021-45",387
"2021-46",451
"2021-47",533
"2021-48",582
"2021-49",755
"2021-50",881
"2021-51",1102
"2021-52",1208
"2022-01",1709
"2022-02",2317
"2022-03",2677
"2022-04",2797
"2022-05",2677
"2022-06",2230
"2022-07",1943
"2022-08",1565
"2022-09",1290
"2022-10",1022
"2022-11",980
"2022-12",1026
"2022-13",1125
"2022-14",1083
"2022-15",1089
"2022-16",1073
"2022-17",1063
"2022-18",980
"2022-19",830
"2022-20",701
"2022-21",567
"2022-22",413
"2022-23",419
"2022-24",351
"2022-25",453
"2022-26",553
"2022-27",830
"2022-28",1012
"2022-29",1258
"2022-30",1251
"2022-31",1150
"2022-32",904
"2022-33",738
"2022-34",615
"2022-35",472
"2022-36",355
"2022-37",321
"2022-38",282
"2022-39",312
"2022-40",490
"2022-41",584
"2022-42",626
"2022-43",670
"2022-44",599
"2022-45",575
"2022-46",639
"2022-47",707
"2022-48",824
"2022-49",855
"2022-50",937
"2022-51",871
"2022-52",821
